CID,CRPName,Party
N00000078,"Maloney, Carolyn B",D
N00000153,"Neal, Richard E",D
N00000179,"McGovern, James P",D
N00000265,"Weld, William F",R
N00000270,"Markey, Ed",D
N00000362,"Reed, Jack",D
N00000491,"Collins, Susan M",R
N00000515,"Welch, Peter",D
N00000575,"Larson, John B",D
N00000615,"DeLauro, Rosa L",D
N00000751,"Pascrell, Bill Jr",D
N00000781,"Pallone, Frank Jr",D
N00000931,"Bryk, William",D
N00000939,"Nadler, Jerrold",D
N00000990,"McManus, Patrick",3
N00001003,"Engel, Eliot",D
N00001065,"Dillon, James J",D
N00001093,"Schumer, Charles E",D
N00001102,"Velazquez, Nydia",D
N00001157,"Maher, Pat",D
N00001171,"Meeks, Gregory W",D
N00001193,"King, Pete",R
N00001373,"Doyle, Mike",D
N00001669,"Biden, Joe",D
N00001692,"Norton, Eleanor Holmes",D
N00001725,"Inslee, Jay",D
N00001728,"Stracuzzi, Natale",3
N00001758,"Grassley, Chuck",R
N00001799,"Mfume, Kweisi",D
N00001821,"Hoyer, Steny H",D
N00001960,"Hiegel, Dan",D
N00001971,"Cummings, Elijah E",D
N00001982,"Taylor, Blaine",R
N00002002,"Rea, John",D
N00002097,"Warner, Mark",D
N00002147,"Scott, Bobby",D
N00002260,"Price, David",D
N00002361,"Williams, Marcus",D
N00002408,"Clyburn, James E",D
N00002424,"Sanford, Mark",R
N00002444,"Frasier, Ben",D
N00002577,"Lewis, John",D
N00002583,"Thomas, Mable",D
N00002674,"Bishop, Sanford",D
N00002763,"Wells, Tom",D
N00002802,"Hill, Clay",I
N00002884,"Hastings, Alcee",D
N00002893,"Frankel, Lois J",D
N00002942,"Crist, Charlie",D
N00003028,"Aderholt, Robert B",R
N00003062,"Sessions, Jeff",R
N00003132,"Cooper, Jim",D
N00003142,"Bush, Byron",R
N00003225,"Cohen, Steve",D
N00003288,"Thompson, Bennie G",D
N00003295,"Espy, Mike",D
N00003389,"McConnell, Mitch",R
N00003473,"Rogers, Hal",R
N00003522,"Kaptur, Marcy",D
N00003569,"Johnson, Jeff",D
N00003689,"Chabot, Steve",R
N00003754,"Holland, George",D
N00003796,"Leyva, Mark",R
N00003813,"Visclosky, Pete",D
N00003818,"Spelbring, Ralph",D
N00004098,"Carr, Bob",R
N00004133,"Upton, Fred",R
N00004403,"Kind, Ron",D
N00004552,"Collis, Noel",R
N00004558,"Peterson, Collin",D
N00004572,"Thune, John",R
N00004723,"Walsh, Joe",R
N00004724,"Schakowsky, Jan",D
N00004766,"Marshall, Robert",R
N00004884,"Davis, Danny K",D
N00004887,"Rush, Bobby L",D
N00004894,"Starky, Stu",D
N00004981,"Durbin, Dick",D
N00005076,"Higgins, Jim",L
N00005224,"Love, Tom",R
N00005282,"Moran, Jerry",R
N00005531,"Murphy, Robert T",L
N00005559,"Lucas, Frank D",R
N00005582,"Inhofe, James M",R
N00005600,"Rogers, Evelyn",I
N00005681,"Sessions, Pete",R
N00005697,"Ashby, Ken",L
N00005736,"Babin, Brian",R
N00005818,"Jackson Lee, Sheila",D
N00005883,"Brady, Kevin",R
N00005932,"Foster, William III",D
N00005981,"Blunt, Jeffrey",L
N00006023,"Doggett, Lloyd",D
N00006077,"Artalejo, Jorge",D
N00006134,"DeGette, Diana",D
N00006159,"Swing, Gary",3
N00006263,"Simpson, Mike",R
N00006267,"Crapo, Mike",R
N00006460,"Schweikert, David",R
N00006579,"Montoya, Rick",R
N00006671,"Roybal-Allard, Lucille",D
N00006690,"Waters, Maxine",D
N00006701,"Takano, Mark",D
N00006789,"Napolitano, Grace",D
N00006825,"Mathews, Peter",D
N00006863,"McClintock, Tom",R
N00006897,"Sherman, Brad",D
N00006997,"Casady, Nancy",D
N00007017,"Issa, Darrell",R
N00007021,"Vargas, Juan",D
N00007084,"Conaway, Bob",D
N00007099,"Calvert, Ken",R
N00007248,"Nunes, Devin",R
N00007335,"Eshoo, Anna",D
N00007360,"Pelosi, Nancy",D
N00007379,"Dehn, Joe",L
N00007419,"Thompson, Mike",D
N00007460,"Coppock, Charles Wallace",3
N00007470,"Vlakancic, Connor",R
N00007479,"Lofgren, Zoe",D
N00007635,"Radewagen, Amata Coleman",R
N00007681,"Underwood, Robert",D
N00007724,"Wyden, Ron",D
N00007727,"Blumenauer, Earl",D
N00007781,"DeFazio, Peter",D
N00007833,"Smith, Adam",D
N00007876,"Murray, Patty",D
N00007923,"Bell, Randy",D
N00007956,"Pross, Gordon",R
N00007982,"Gravel, Mike",D
N00007986,"Whittaker, Jed",3
N00007999,"Young, Don",R
N00008046,"Lee, Barbara",D
N00008122,"Johnson, Eddie Bernice",D
N00008327,"Smith, Joe",R
N00008419,"Stwalley, Russell",R
N00008502,"Young, Lih",D
N00008598,"Alciere, Tom",D
N00008799,"Granger, Kay",R
N00009330,"Ladien, Kimball",R
N00009426,"McCarthy, Daniel",D
N00009504,"Popkin, Gary",L
N00009575,"Scharer, Gene",D
N00009585,"Schiff, Adam",D
N00009660,"Scalise, Steve",R
N00009724,"Langevin, Jim",D
N00009759,"Larsen, Rick",D
N00009771,"Capito, Shelley Moore",R
N00009816,"Smith, Chris",R
N00009825,"Acevedo-Vila, Anibal",3
N00009918,"Leahy, Patrick",D
N00009975,"Graham, Lindsey",R
N00010309,"Beehler, Mike",R
N00010627,"Molstad, Jerry",R
N00010719,"Skolnick, Shelly",R
N00010777,"Welty, Harry",R
N00011042,"Jorgensen, Jo",L
N00011666,"Sartain, Don R",D
N00011726,"Elliott, Josh",R
N00012192,"Benford, Dorothy",D
N00012219,"Salazar, Cecilia M",R
