CYCLE,ORGID,ORGNAME,TOTAL,INDIVS,PACS,SOFT,TOT527,DEMS,REPUBS,LOBBYING,OUTSIDE,MEMS_INVESTED,GAVE_TO_PAC,GAVE_TO_PARTY,GAVE_TO_527,GAVE_TO_CAND,SOURCE
2022,D000000077,Service Employees International Union,17261362,218209,1452413,15590740,0,1662904,703,970861,3919256,0,1409,329251,1285701,0,www.opensecrets.org/orgs/summary.php?id=D000000077
2020,D000091891,Schechter Law Firm,66202,66202,0,0,0,66202,0,0,0,0,0,28210,37992,0,www.opensecrets.org/orgs/summary.php?id=D000091891
2022,D000023936,American College of Nurse-Midwives,41575,75,41500,0,0,34575,7000,15000,0,0,0,0,41575,0,www.opensecrets.org/orgs/summary.php?id=D000023936
2022,D000096107,Executive Affiliates Inc,572550,570050,0,2500,0,520700,49350,0,0,0,0,73250,431400,0,www.opensecrets.org/orgs/summary.php?id=D000096107
2022,D000068653,No Labels,2036489,1851489,185000,0,0,801598,1234891,0,0,0,0,0,2036489,0,www.opensecrets.org/orgs/summary.php?id=D000068653
2022,D000089420,Campbell & Co (Maryland),17350,17350,0,0,0,17100,250,0,0,0,0,250,17100,0,www.opensecrets.org/orgs/summary.php?id=D000089420
2022,D000084393,Campbell & Co Northwest,150,0,0,150,0,0,0,0,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000084393
2022,D000032258,Campbell & Levine,39450,39450,0,0,0,39450,0,0,0,0,0,0,39450,0,www.opensecrets.org/orgs/summary.php?id=D000032258
2020,D000043731,Campbell Alliance,21800,21800,0,0,0,21600,200,0,0,0,0,10000,11800,0,www.opensecrets.org/orgs/summary.php?id=D000043731
2012,D000032259,Campbell for Colorado,9000,0,9000,0,0,0,9000,0,0,0,0,0,9000,0,www.opensecrets.org/orgs/summary.php?id=D000032259
2022,D000060529,Campbell Foundation,760,760,0,0,0,760,0,0,0,0,0,0,760,0,www.opensecrets.org/orgs/summary.php?id=D000060529
2020,D000081731,Campbell Foundry Co,1,1,0,0,0,1,0,0,0,0,0,0,1,0,www.opensecrets.org/orgs/summary.php?id=D000081731
2020,D000083147,Campbell Global,2000,2000,0,0,0,1403,597,0,0,0,0,50,1950,0,www.opensecrets.org/orgs/summary.php?id=D000083147
2020,D000060530,Campbell Group,140,140,0,0,0,140,0,0,0,0,0,0,140,0,www.opensecrets.org/orgs/summary.php?id=D000060530
2022,D000085542,Campbell Group (Michigan),400,400,0,0,0,0,400,0,0,0,0,0,400,0,www.opensecrets.org/orgs/summary.php?id=D000085542
2012,D000085551,Campbell Group (South Carolina),6000,6000,0,0,0,5500,500,0,0,0,0,0,6000,0,www.opensecrets.org/orgs/summary.php?id=D000085551
2016,D000084179,Campbell Group (Tennessee),300,300,0,0,0,0,300,0,0,0,0,0,300,0,www.opensecrets.org/orgs/summary.php?id=D000084179
2016,D000032260,Campbell Industries,7450,7450,0,0,0,0,7450,0,0,0,0,4000,3450,0,www.opensecrets.org/orgs/summary.php?id=D000032260
2022,D000094005,Campbell Kibler Assoc,17900,17900,0,0,0,17900,0,0,0,0,0,0,17900,0,www.opensecrets.org/orgs/summary.php?id=D000094005
